"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"113";"Palaiabyblos";"settlement";"Maamaltayn bridge";"bridge";0,183106239629946;0,271648044692737;0,0885418050627912
"114";"Heliopolis";"city";"Baalbak";"settlement";0,0884307908894364;0,323772944932163;0,235342154042726
"115";"Arca-Caesarea ad Libanum";"city";"Arqa";"settlement";0,0717984815727286;0,120161612130886;0,0483631305581572
"116";"Triparadeisos";"settlement";"Jusiyah";"settlement";0,103625119412741;0,353651237031125;0,250026117618385
"117";"Emesa";"city";"Hims";"city";0,96105384886118;1;0,0389461511388205
"118";"Antarados-Constantia";"city";"Tartus";"settlement";0,0996027955151089;0,1655526735834;0,065949878068291
"119";"Balanea-Leukas";"city";"Bulunyas";"settlement";0,104932374679471;0,156025538707103;0,0510931640276319
"120";"Adarin";"station";"al-Qutayyifah";"settlement";0,856443260093519;0,89909217877095;0,0426489186774307
"121";"Casama";"station";"Nabk";"settlement";0,854281260998542;0,61836592178771;-0,235915339210832
"122";"Cara-Cehere";"settlement";"Qara";"settlement";0,853356126502087;0,60090782122905;-0,252448305273036
"123";"Danova";"settlement";"Sadad";"settlement";0,0361003569812459;0,0106245011971269;-0,025475855784119
"124";"Salamias";"settlement";"Salamiyah";"settlement";0,119221680325808;0,0585594573024741;-0,0606622230233342
"125";"Geroda";"station";"Jarud";"settlement";0,119885363768917;0,275139664804469;0,155254301035552
"126";"Nazala";"settlement";"Qaryatayn";"settlement";0,137432751772336;0,271448523543496;0,134015771771159
"127";"Arethousa";"settlement";"Rastan";"settlement";0,796882698979335;0,930167597765363;0,133284898786028
"128";"Hama-Epiphaneia";"city";"Hama";"city";0,793151993564282;0,925179569034318;0,132027575470036
"129";"Seriane";"settlement";"Ithriya";"place";0,110925637286943;0,11946328810854;0,00853765082159698
"130";"Resapha-Sergioupolis";"settlement";"Rusafah";"city";0,046467896827392;0,0759177972865124;0,0294499004591203
"131";"Avatha";"fort";"al-Bakhra";"fort";0;0,00104748603351955;0,00104748603351955
"132";"al-Basiri";"fort";"al-Basiri";"fort";0,0250691336919905;0,00952713487629689;-0,0155419988156937
"133";"Audattha";"settlement";"Rahba";"settlement";0,00230278043139424;0,051426576217079;0,0491237957856848
"134";"Gabala";"city";"Jabalah";"settlement";0,0926542309819498;0,149890263367917;0,0572360323859672
"135";"Laodicea";"city";"Ladhiqiya";"city";0,0899693297802806;0,129888268156425;0,039918938376144
"136";"Raphaneai";"city";"Rafaniyah";"settlement";0,0948061742671829;0,0436951316839585;-0,0511110425832244
"137";"Massyas";"settlement";"Hisn Masyad";"settlement";0,0853336014882598;0,0325219473264166;-0,0528116541618432
"138";"Larissa";"settlement";"Shayzar";"settlement";0,0868319171401277;0,0703312051077414;-0,0165007120323863
"139";"Apamea";"city";"Afamiya";"settlement";0,165538740007039;0,0843974461292897;-0,0811412938777493
"140";"Telmenissos";"station";"Tall Mannas";"settlement";0,704962542108703;0,844473264166002;0,139510722057298
"141";"Chalcis ad Belum";"city";"Qinnasrin";"city";0,703926793705063;0,86188148443735;0,157954690732287
"142";"Ad Orontem";"station";"Hisn as-Suwaydiya";"settlement";0,0188445874604052;0;-0,0188445874604052
"143";"Antiochia";"city";"Antakya";"city";0,133340037206496;0,1545790103751;0,0212389731686037
"144";"Gabboula";"settlement";"al-Jabbul";"settlement";0,0206244657851073;0,0611033519553073;0,0404788861701999
"145";"Beroia";"city";"Halab";"city";0,640615415556338;0,68086592178771;0,0402505062313718
"146";"Gephyra";"settlement";"Jisr al-Jadid";"bridge";0,0575795665946;0,0302773343974461;-0,0273022321971539
"147";"Athis-Neocaesarea";"settlement";"Qasirin";"settlement";0,0362511941274071;0,0672386272944932;0,0309874331670861
"148";"Barbalissus";"settlement";"Balis";"settlement";0,0503393835788627;0,166949321628093;0,11660993804923
"149";"Anasartha";"settlement";"Khunasira";"settlement";0,0801950827090352;0,104050279329609;0,0238551966205738
"150";"Tell Aarane";"settlement";"Tall Aran";"settlement";0,0324400422344009;0,065243415802075;0,0328033735676741
"151";"Batna";"city";"Buzaa";"settlement";0,119734526622756;0,313497605746209;0,193763079123453
"152";"Hierapolis-Bambyke";"city";"Manbij";"settlement";0,139494192769873;0,389714684756584;0,250220491986711
"153";"Litarba";"settlement";"al-Atharib";"settlement";0,0755995776559907;0,191141260973663;0,115541683317672
"154";"Imma";"settlement";"Imm";"settlement";0,0256925938961235;0,142956903431764;0,11726430953564
"155";"Bersera";"settlement";"as-Safira";"settlement";0,0852531550103072;0,0773144453312051;-0,0079387096791021
"156";"Qalaat Najm";"site";"Jisr Manbij";"settlement";0;0,0344672785315243;0,0344672785315243
"157";"Cyrrus";"city";"Qurus";"settlement";0,210407763085122;0,270949720670391;0,0605419575852686
"158";"Azaz";"settlement";"Azaz";"settlement";0,566443762884006;0,337390263367917;-0,229053499516089
"159";"Pagrae";"settlement";"Baghras";"settlement";0,102237417668058;0,116969273743017;0,014731856074959
"160";"Alexandria ad Issum";"city";"Iskandarunah";"settlement";0,0434712655236563;0;-0,0434712655236563
"161";"Nicopolis";"settlement";"Niqabulus";"settlement";0,0768867213032329;0,175778132482043;0,0988914111788102
"162";"Germanikeia";"city";"Marash";"settlement";0,0315450751671778;0,102055067837191;0,0705099926700129
"163";"Eirenopolis-Neronias";"settlement";"Haruniyah";"settlement";0;0;0
"164";"Adatha";"settlement";"al-Hadath";"settlement";0,0630800945246116;0,129988028731045;0,0669079342064339
"165";"Doliche";"city";"Duluk";"settlement";0,158871738146714;0,298333998403831;0,139462260257117
"166";"Zizoatra";"settlement";"Zibatra";"settlement";0,026135049524863;0,044842378292099;0,018707328767236
"167";"Melitene";"settlement";"Malatya";"settlement";0,0158680677761577;0,0362629688747007;0,020394901098543
"168";"Pordonnium";"station";"Hisn Mansur";"settlement";0,00374076122479763;0,00683359936153232;0,0030928381367347
"169";"Samosata";"city";"Sumaysat";"city";0,160802453617578;0,215682362330407;0,0548799087128295
"170";"Rhabaine";"settlement";"Raaban";"settlement";0,00484690029664639;0,00748204309656824;0,00263514279992185
"171";"Tharsa";"settlement";"Turush";"settlement";0,00786364321987028;0,226656025538707;0,218792382318837
"172";"Ağcin";"node";"Sanja Bridge";"bridge";0,0145608125094273;0,241819632881085;0,227258820371658
"173";"Nisus";"station";"Kaysum";"settlement";0,00056312534566846;0,000997605746209098;0,000434480400540638
"174";"Kara Su-Akbudak bridge";"bridge";"Akbudak bridge";"bridge";0,0717984815727286;0,289156025538707;0,217357543965978
"175";"Zeugma";"city";"Zeugma";"settlement";0,360329830559606;0,287061053471668;-0,0732687770879378
"176";"Birtha";"settlement";"al-Birah";"settlement";0,00109608326210468;0;-0,00109608326210468
"177";"Ad Zociandem";"settlement";"Nasibin as-Saghira";"settlement";0,311287646437729;0,0552174780526736;-0,256070168385056
